node	phylum
1	p__Euryarchaeota
2	p__Actinobacteria
3	p__Actinobacteria
4	p__Actinobacteria
5	p__Actinobacteria
6	p__Actinobacteria
7	p__Actinobacteria
8	p__Actinobacteria
9	p__Actinobacteria
10	p__Actinobacteria
11	p__Actinobacteria
12	p__Actinobacteria
13	p__Actinobacteria
14	p__Bacteroidetes
15	p__Bacteroidetes
16	p__Bacteroidetes
17	p__Bacteroidetes
18	p__Bacteroidetes
19	p__Bacteroidetes
20	p__Bacteroidetes
21	p__Bacteroidetes
22	p__Bacteroidetes
23	p__Bacteroidetes
24	p__Bacteroidetes
25	p__Bacteroidetes
26	p__Bacteroidetes
27	p__Bacteroidetes
28	p__Bacteroidetes
29	p__Bacteroidetes
30	p__Bacteroidetes
31	p__Bacteroidetes
32	p__Bacteroidetes
33	p__Bacteroidetes
34	p__Bacteroidetes
35	p__Bacteroidetes
36	p__Bacteroidetes
37	p__Bacteroidetes
38	p__Bacteroidetes
39	p__Bacteroidetes
40	p__Bacteroidetes
41	p__Bacteroidetes
42	p__Bacteroidetes
43	p__Bacteroidetes
44	p__Bacteroidetes
45	p__Bacteroidetes
46	p__Bacteroidetes
47	p__Bacteroidetes
48	p__Bacteroidetes
49	p__Bacteroidetes
50	p__Bacteroidetes
51	p__Bacteroidetes
52	p__Bacteroidetes
53	p__Bacteroidetes
54	p__Firmicutes
55	p__Firmicutes
56	p__Firmicutes
57	p__Firmicutes
58	p__Firmicutes
59	p__Firmicutes
60	p__Firmicutes
61	p__Firmicutes
62	p__Firmicutes
63	p__Firmicutes
64	p__Firmicutes
65	p__Firmicutes
66	p__Firmicutes
67	p__Firmicutes
68	p__Firmicutes
69	p__Firmicutes
70	p__Firmicutes
71	p__Firmicutes
72	p__Firmicutes
73	p__Firmicutes
74	p__Firmicutes
75	p__Firmicutes
76	p__Firmicutes
77	p__Firmicutes
78	p__Firmicutes
79	p__Firmicutes
80	p__Firmicutes
81	p__Firmicutes
82	p__Firmicutes
83	p__Firmicutes
84	p__Firmicutes
85	p__Firmicutes
86	p__Firmicutes
87	p__Firmicutes
88	p__Firmicutes
89	p__Firmicutes
90	p__Firmicutes
91	p__Firmicutes
92	p__Firmicutes
93	p__Firmicutes
94	p__Firmicutes
95	p__Firmicutes
96	p__Firmicutes
97	p__Firmicutes
98	p__Firmicutes
99	p__Firmicutes
100	p__Firmicutes
101	p__Firmicutes
102	p__Firmicutes
103	p__Firmicutes
104	p__Firmicutes
105	p__Firmicutes
106	p__Firmicutes
107	p__Firmicutes
108	p__Firmicutes
109	p__Firmicutes
110	p__Firmicutes
111	p__Firmicutes
112	p__Firmicutes
113	p__Firmicutes
114	p__Firmicutes
115	p__Firmicutes
116	p__Firmicutes
117	p__Firmicutes
118	p__Firmicutes
119	p__Firmicutes
120	p__Firmicutes
121	p__Firmicutes
122	p__Firmicutes
123	p__Firmicutes
124	p__Firmicutes
125	p__Firmicutes
126	p__Firmicutes
127	p__Firmicutes
128	p__Firmicutes
129	p__Firmicutes
130	p__Firmicutes
131	p__Firmicutes
132	p__Firmicutes
133	p__Firmicutes
134	p__Firmicutes
135	p__Firmicutes
136	p__Firmicutes
137	p__Firmicutes
138	p__Firmicutes
139	p__Firmicutes
140	p__Firmicutes
141	p__Firmicutes
142	p__Firmicutes
143	p__Firmicutes
144	p__Firmicutes
145	p__Firmicutes
146	p__Firmicutes
147	p__Firmicutes
148	p__Firmicutes
149	p__Firmicutes
150	p__Proteobacteria
151	p__Proteobacteria
152	p__Proteobacteria
153	p__Proteobacteria
154	p__Proteobacteria
155	p__Proteobacteria
156	p__Proteobacteria
157	p__Proteobacteria
158	p__Proteobacteria
159	p__Proteobacteria
160	p__Proteobacteria
161	p__Proteobacteria
162	p__Proteobacteria
163	p__Verrucomicrobia
164	NA
165	NA
166	NA
167	NA
168	NA
169	NA
170	NA
171	NA
172	NA
173	NA
174	NA
175	NA
176	NA
177	NA
178	NA
179	NA
180	NA
181	NA
182	NA
183	NA
184	NA
185	NA
186	NA
187	NA
188	NA
189	NA
190	NA
191	NA
192	NA
193	NA
194	NA
195	NA
196	NA
197	NA
198	NA
199	NA
200	NA
201	NA
202	NA
203	NA
204	NA
205	NA
206	NA
207	NA
208	NA
209	NA
210	NA
211	NA
212	NA
213	NA
214	NA
215	NA
216	NA
217	NA
218	NA
219	NA
220	NA
221	NA
222	NA
223	NA
224	NA
225	NA
226	NA
227	NA
228	NA
229	NA
230	NA
231	NA
232	NA
233	NA
234	NA
235	NA
236	NA
237	NA
238	NA
239	NA
240	NA
241	NA
242	NA
243	NA
244	NA
245	NA
246	NA
247	NA
248	NA
249	NA
250	NA
251	NA
252	NA
253	NA
254	NA
255	NA
256	NA
257	NA
258	NA
259	NA
260	NA
261	NA
262	NA
263	NA
264	NA
265	NA
266	NA
267	NA
268	NA
269	NA
270	NA
271	NA
272	NA
273	NA
274	NA
275	NA
276	NA
277	NA
278	NA
279	NA
280	NA
281	NA
282	NA
283	NA
284	NA
285	NA
286	NA
287	NA
288	NA
289	NA
290	NA
291	NA
292	NA
293	NA
294	NA
295	NA
296	NA
297	NA
298	NA
299	NA
300	NA
301	NA
302	NA
303	NA
304	NA
305	NA
306	NA
307	NA
308	NA
309	NA
310	NA
