tip_index	tip_label
1	Methanobrevibacter_smithii
2	Actinomyces_graevenitzii
3	Actinomyces_sp_ICM47
4	Bifidobacterium_adolescentis
5	Bifidobacterium_bifidum
6	Bifidobacterium_longum
7	Bifidobacterium_pseudocatenulatum
8	Rothia_mucilaginosa
9	Collinsella_aerofaciens
10	Adlercreutzia_equolifaciens
11	Asaccharobacter_celatus
12	Eggerthella_lenta
13	Gordonibacter_pamelaeae
14	Bacteroides_caccae
15	Bacteroides_cellulosilyticus
16	Bacteroides_clarus
17	Bacteroides_coprocola
18	Bacteroides_coprophilus
19	Bacteroides_dorei
20	Bacteroides_eggerthii
21	Bacteroides_finegoldii
22	Bacteroides_fragilis
23	Bacteroides_galacturonicus
24	Bacteroides_intestinalis
25	Bacteroides_massiliensis
26	Bacteroides_nordii
27	Bacteroides_ovatus
28	Bacteroides_plebeius
29	Bacteroides_salyersiae
30	Bacteroides_stercoris
31	Bacteroides_thetaiotaomicron
32	Bacteroides_uniformis
33	Bacteroides_vulgatus
34	Bacteroides_xylanisolvens
35	Barnesiella_intestinihominis
36	Coprobacter_fastidiosus
37	Butyricimonas_synergistica
38	Butyricimonas_virosa
39	Odoribacter_splanchnicus
40	Paraprevotella_clara
41	Paraprevotella_xylaniphila
42	Prevotella_copri
43	Prevotella_sp_CAG_279
44	Prevotella_sp_CAG_520
45	Prevotella_stercorea
46	Alistipes_finegoldii
47	Alistipes_indistinctus
48	Alistipes_putredinis
49	Alistipes_shahii
50	Parabacteroides_distasonis
51	Parabacteroides_goldsteinii
52	Parabacteroides_johnsonii
53	Parabacteroides_merdae
54	Gemella_sanguinis
55	Lactobacillus_rogosae
56	Streptococcus_anginosus_group
57	Streptococcus_gordonii
58	Streptococcus_infantis
59	Streptococcus_mitis
60	Streptococcus_mutans
61	Streptococcus_oralis
62	Streptococcus_parasanguinis
63	Streptococcus_salivarius
64	Streptococcus_sanguinis
65	Streptococcus_thermophilus
66	Streptococcus_vestibularis
67	Clostridium_bolteae_CAG_59
68	Clostridium_disporicum
69	Clostridium_sp_CAG_242
70	Clostridium_sp_CAG_299
71	Clostridium_sp_CAG_510
72	Clostridium_sp_CAG_58
73	Hungatella_hathewayi
74	Intestinimonas_butyriciproducens
75	Lawsonibacter_asaccharolyticus
76	Monoglobus_pectinilyticus
77	Eubacterium_eligens
78	Eubacterium_hallii
79	Eubacterium_ramulus
80	Eubacterium_sp_CAG_180
81	Eubacterium_sp_CAG_251
82	Eubacterium_sp_CAG_274
83	Eubacterium_sp_CAG_38
84	Eubacterium_sp_OM08_24
85	Eubacterium_ventriosum
86	Anaerostipes_hadrus
87	Blautia_obeum
88	Blautia_sp_CAG_257
89	Blautia_wexlerae
90	Ruminococcus_gnavus
91	Ruminococcus_torques
92	Coprococcus_catus
93	Coprococcus_comes
94	Coprococcus_eutactus
95	Dorea_formicigenerans
96	Dorea_longicatena
97	Eisenbergiella_massiliensis
98	Fusicatenibacter_saccharivorans
99	Clostridium_asparagiforme
100	Clostridium_bolteae
101	Clostridium_citroniae
102	Clostridium_clostridioforme
103	Clostridium_symbiosum
104	Eubacterium_rectale
105	Lachnospira_pectinoschiza
106	Roseburia_faecis
107	Roseburia_hominis
108	Roseburia_intestinalis
109	Roseburia_inulinivorans
110	Roseburia_sp_CAG_182
111	Roseburia_sp_CAG_303
112	Roseburia_sp_CAG_471
113	Sellimonas_intestinalis
114	Oscillibacter_sp_57_20
115	Oscillibacter_sp_CAG_241
116	Intestinibacter_bartlettii
117	Agathobaculum_butyriciproducens
118	Anaerotruncus_colihominis
119	Faecalibacterium_prausnitzii
120	Flavonifractor_plautii
121	Gemmiger_formicilis
122	Clostridium_leptum
123	Eubacterium_siraeum
124	Ruminococcus_bicirculans
125	Ruminococcus_bromii
126	Ruminococcus_callidus
127	Ruminococcus_lactaris
128	Ruminococcus_sp_CAG_403
129	Ruthenibacterium_lactatiformans
130	Clostridium_innocuum
131	Erysipelatoclostridium_ramosum
132	Holdemanella_biformis
133	Holdemania_filiformis
134	Turicibacter_sanguinis
135	Firmicutes_bacterium_CAG_110
136	Firmicutes_bacterium_CAG_170
137	Firmicutes_bacterium_CAG_83
138	Firmicutes_bacterium_CAG_95
139	Phascolarctobacterium_faecium
140	Phascolarctobacterium_succinatutens
141	Megamonas_funiformis
142	Megamonas_hypermegale
143	Dialister_invisus
144	Dialister_sp_CAG_357
145	Veillonella_atypica
146	Veillonella_dispar
147	Veillonella_infantium
148	Veillonella_parvula
149	Veillonella_sp_T11011_6
150	Oxalobacter_formigenes
151	Parasutterella_excrementihominis
152	Turicimonas_muris
153	Bilophila_wadsworthia
154	Desulfovibrio_piger
155	Enterobacter_cloacae_complex
156	Escherichia_coli
157	Klebsiella_pneumoniae
158	Klebsiella_quasipneumoniae
159	Klebsiella_variicola
160	Haemophilus_parainfluenzae
161	Haemophilus_sp_HMSC71H05
162	Proteobacteria_bacterium_CAG_139
163	Akkermansia_muciniphila
