id	GDM	ec	abundance	jitter_group	jitter_position
1_1	Control	1.3.1.9	0.000809366	1	-0.19
1_10	GDM	1.3.1.9	0.000450998	1	0.19
1_100	Control	1.3.1.9	0.000854444	1	-0.19
1_101	Control	1.3.1.9	0.000738768	1	-0.19
1_102	GDM	1.3.1.9	0.000545054	1	0.19
1_103	Control	1.3.1.9	0.000945888	1	-0.19
1_104	GDM	1.3.1.9	0.000718333	1	0.19
1_105	Control	1.3.1.9	0.00241691	1	-0.19
1_106	Control	1.3.1.9	0.00127514	1	-0.19
1_107	GDM	1.3.1.9	0.000514617	1	0.19
1_108	Control	1.3.1.9	0.000920583	1	-0.19
1_109	GDM	1.3.1.9	0.000988452	1	0.19
1_11	GDM	1.3.1.9	0.00070599	1	0.19
1_110	GDM	1.3.1.9	0.00114899	1	0.19
1_111	Control	1.3.1.9	0.00115761	1	-0.19
1_112	GDM	1.3.1.9	0.000942496	1	0.19
1_113	Control	1.3.1.9	0.000690497	1	-0.19
1_114	GDM	1.3.1.9	0.00130713	1	0.19
1_115	Control	1.3.1.9	0.000568694	1	-0.19
1_116	GDM	1.3.1.9	0.000817392	1	0.19
1_117	Control	1.3.1.9	0.000890048	1	-0.19
1_118	GDM	1.3.1.9	0.00103144	1	0.19
1_119	Control	1.3.1.9	0.0011454	1	-0.19
1_12	GDM	1.3.1.9	0.000622638	1	0.19
1_120	GDM	1.3.1.9	0.000394228	1	0.19
1_121	GDM	1.3.1.9	0.00153132	1	0.19
1_122	GDM	1.3.1.9	0.00109295	1	0.19
1_123	Control	1.3.1.9	0.000423525	1	-0.19
1_124	Control	1.3.1.9	0.000897775	1	-0.19
1_125	Control	1.3.1.9	0.00124564	1	-0.19
1_126	GDM	1.3.1.9	0.00262404	1	0.19
1_127	Control	1.3.1.9	0.000885266	1	-0.19
1_128	GDM	1.3.1.9	0.000974253	1	0.19
1_129	Control	1.3.1.9	0.00141561	1	-0.19
1_13	Control	1.3.1.9	0.00138219	1	-0.19
1_130	GDM	1.3.1.9	0.00157131	1	0.19
1_131	Control	1.3.1.9	0.000656031	1	-0.19
1_132	GDM	1.3.1.9	0.000353395	1	0.19
1_133	Control	1.3.1.9	0.00107711	1	-0.19
1_134	GDM	1.3.1.9	0.000662528	1	0.19
1_135	GDM	1.3.1.9	0.00153617	1	0.19
1_136	GDM	1.3.1.9	0.000648992	1	0.19
1_137	Control	1.3.1.9	0.000814551	1	-0.19
1_138	GDM	1.3.1.9	0.000906048	1	0.19
1_139	Control	1.3.1.9	0.000439367	1	-0.19
