rowname	short_name	ogtt_2	ogtt_3	bmi_delta	wtchan_a	sbp_a	fpg_a	fpg_delta	hba1c_delta	Insulin	HOMA_IR	Adiponectin	TG	LDL	ApoA1	ApoB
BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-BIOSYNTHESIS-PWY	0.0685631742062354	0.0688814259568062	-0.000327274607491446	0.0188495192610372	-0.00113162072652066	-0.0346656019986589	0.0806585299263319	-0.0169929640036965	0.0164213260288482	0.00953929188765979	-0.0194939546236862	-0.0184339406268446	-0.0365437799235015	0.0377916855758446	-0.0345106521385128
CATECHOL-ORTHO-CLEAVAGE-PWY	CATECHOL-ORTHO-CLEAVAGE-PWY	0.0623335654335893	0.0421052553975579	0.0242339468143268	0.0225964237608852	-0.00941850619285273	0.0567147867522722	0.0130515696277998	-0.029955088031212	0.00806140423382845	0.0240709672983009	0.00619091845023444	-0.0980842335029737	-0.010429790349778	0.000590003584711632	-0.00933594509285923
FASYN-ELONG-PWY	FASYN-ELONG-PWY	0.0779659165966448	0.0885708541938407	-0.0138056851773315	0.014249458774158	0.00842752529724171	-0.0303961164206306	0.0817420320452996	-0.0110660136955657	0.0153343359463567	0.00933685210672631	-0.0418590778302583	-0.0162233977067176	-0.0227773850916636	0.0357371894778297	-0.0208174209091429
GLYCOGENSYNTH-PWY	GLYCOGENSYNTH-PWY	-0.0512743896854747	-0.0754454568336497	0.0386908494737187	0.0644878942998002	0.0180264684950394	0.0131061080547291	-0.00358499367204262	-0.0015600421148599	0.053400518628389	0.0641164152695122	0.0813521633257102	-0.00730955401358498	-0.0504209734402456	0.0293970966792029	-0.0566638831824733
HISDEG-PWY	HISDEG-PWY	0.0717469189538645	0.0716050523632501	0.0390655949790347	0.0140566872862442	0.00446830807742488	-0.0131507377465438	0.0387924497334276	-0.0760919887324221	0.0316252448904949	0.0349329105157464	0.00823386931332165	-0.0359501680404182	-0.038944642362447	0.0592247138129092	-0.0295837776630349
LACTOSECAT-PWY	LACTOSECAT-PWY	-0.0498466052525628	-0.0598083812638367	0.00728967316684127	0.0336538201126449	0.045629600788036	0.00909018989661984	0.016395792705665	0.0328200904226575	0.020207534698698	0.0229000208022401	0.0810709701944656	0.033457507758028	-0.0203162885378806	-0.00169340293608816	-0.0250228118294459
P461-PWY	P461-PWY	-0.0593533766639013	-0.0631725663833878	0.00903816492134153	0.0335895086120487	0.0463237770997894	0.0545267041194186	-0.00421761128283772	0.0216987664384011	0.023101023605285	0.0374691125220177	0.0463650956647867	0.0521912937704509	-0.0513401244932235	-0.0176629090100823	-0.0560921125499191
PWY-1861	PWY-1861	-0.0712927580371173	-0.0878952191339561	0.050796691981385	0.0196539377232301	0.0184921971233754	0.0172081621181477	-0.002262954347172	-0.0100545235762206	-0.0108750894390946	-0.00861385271546358	0.102691053412458	-0.00686668912683167	-0.0657016236544356	0.0315647534323257	-0.0535007112716673
PWY-5028	PWY-5028	0.0715852053275631	0.0962374739444042	0.00427190320126847	0.0345476308049928	0.0353919177866606	0.0570440078095397	0.0229423190662349	-0.0415101446167134	0.0657822615707726	0.0796605000918071	0.0352815227043487	-0.0439476501152723	0.00167412557150938	0.0298154223841457	0.00192493414306811
PWY-5989	PWY-5989	0.0652292148433908	0.103466984642892	-0.00637318060634283	0.0188394972143527	-0.00329240019260611	-0.0250320749585415	0.0718484510478947	-0.0269888236808432	0.0262195961229258	0.0210228696493663	-0.0529035908459627	-0.0268878783881586	-0.0090815111811142	0.0251276773437508	-0.0104128422922112
PWY-6147	PWY-6147	0.103117431642983	0.0976953229542585	-0.00295519152801592	0.0581486145442455	0.0114218958464173	0.012798825153613	0.054429337605816	-0.0313975683108146	0.0606313363443014	0.0666440573255972	0.0255430516296669	-0.0586562299135124	-0.0453060111953835	0.0293128084119024	-0.0397125564740128
PWY-622	PWY-622	-0.148429552347294	-0.107092544270069	0.00529297165127847	-0.021445652938171	0.0527927490123414	0.00538895624629454	-0.017078991559622	0.0186571461296187	-0.0142078483517506	-0.0167308467887601	-0.00887381586632948	0.0572832727897027	-0.0104314286626487	-0.0222761355936513	-0.0197793565688558
PWY-6282	PWY-6282	0.0757396301532726	0.0940090404548116	-0.0102583193066405	0.00880485143983173	0.0036626040273812	-0.0292260007225779	0.0810364091237198	-0.0103319886925091	0.0160400379894038	0.00945703963459491	-0.0495810598291994	-0.0161573491294926	-0.0162421291464515	0.0323139701655188	-0.0145685307341059
PWY-6353	PWY-6353	-0.0725795559862615	-0.0619846067869986	0.0357045354053107	0.0402626481153779	0.054387547594457	0.0388089385681604	-0.0224907102324499	0.000441734038410841	0.0575436613543206	0.0678583204425974	0.054357164949355	0.0406222574007218	-0.0333722483297638	0.0135920113175772	-0.036375549862491
PWY-6471	PWY-6471	-0.0366114736144152	-0.0660928207120294	0.0191525712760456	0.0733093488915148	0.0534459617155292	-0.0238545960012585	0.0052662635849458	0.00486193554327546	0.0273277075804026	0.0269692781586113	0.0656261928637868	0.00776531870570062	-0.0275112168874628	0.0347734003871599	-0.0460492090224918
PWY-6519	PWY-6519	0.0720122938190551	0.0768485735426698	-0.00816087635079922	0.0129360909103879	-0.00263566368920928	-0.035602933135201	0.081304566127304	-0.0150438908407313	0.0150165721497107	0.0075992783198251	-0.0298321677381154	-0.0189739573723278	-0.0289055084091056	0.0375966355357246	-0.0261807177817292
PWY-6863	PWY-6863	-0.0746750548750127	-0.0989290623397767	0.0421522157547955	0.0411295740493856	0.0231452199682629	0.00868661220852722	-0.00985828302106631	0.0164572361059162	0.014141678384912	0.0273858242191026	0.0827248651881002	0.00518870633556106	-0.0841420534701927	0.000367756399297306	-0.0790035613953222
PWY-7013	PWY-7013	-0.0802822083936629	-0.127147511544506	0.0447166839030463	0.0601670015315307	0.0141946410606332	0.0314523786827901	-0.0135030601079478	-0.00185154521965931	0.0173956738431951	0.0189335271177416	0.0711698998588479	-0.0081999830834602	-0.0799051105129512	-0.0188158984548102	-0.0733576929946176
PWY-7196	PWY-7196	-0.105080041996757	-0.110307004488103	0.0679337966185531	0.0471828821540213	0.0457969366508293	-0.00252885876550683	-0.0186554632991782	-0.0208588734892575	0.0361000968781485	0.0423474279822117	0.035916671050583	0.0233703315668789	-0.0240886784500997	0.0512238526881364	-0.0164426981453539
PWY-7664	PWY-7664	0.0766662225056974	0.0880693418505388	-0.0138003028414706	0.0109353205781092	0.00694733493847663	-0.031424391850584	0.081613458726395	-0.0104365931909717	0.0153275798797719	0.0085054873835849	-0.0448981130919102	-0.0138371032888093	-0.0210869181094825	0.0345013231926538	-0.0191869237550977
PWY0-862	PWY0-862	0.0749268132599498	0.0868293384774172	-0.0130761343598165	0.0078070865169001	0.00394090669250029	-0.0328122208403792	0.0818736658375625	-0.00879408344116712	0.0134859401822146	0.00633546409571097	-0.0491106433227548	-0.0121249755839495	-0.0170718046048751	0.0323461907837089	-0.0147381604757608
RUMP-PWY	RUMP-PWY	-0.0682740817661161	-0.0566658482832342	0.0146204716234386	0.0312671683657389	0.0137950144199849	0.00369316806826834	0.000327100116031813	0.0373928539951873	-0.00557578897997176	-0.00508414928746353	0.0679443612609437	-0.0509061866530058	-0.05112400334941	-0.0531106680263502	-0.0197427134126767
