id	ec	abundance	jitter_group	jitter_position
1	1.3.1.9	0.000809366	1	-0.19
2	1.3.1.9	0.000450998	1	0.19
3	1.3.1.9	0.000854444	1	-0.19
4	1.3.1.9	0.000738768	1	-0.19
5	1.3.1.9	0.000545054	1	0.19
6	1.3.1.9	0.000945888	1	-0.19
7	1.3.1.9	0.000718333	1	0.19
8	1.3.1.9	0.00241691	1	-0.19
9	1.3.1.9	0.00127514	1	-0.19
10	1.3.1.9	0.000514617	1	0.19
11	1.3.1.9	0.000920583	1	-0.19
12	1.3.1.9	0.000988452	1	0.19
13	1.3.1.9	0.00070599	1	0.19
14	1.3.1.9	0.00114899	1	0.19
15	1.3.1.9	0.00115761	1	-0.19
16	1.3.1.9	0.000942496	1	0.19
17	1.3.1.9	0.000690497	1	-0.19
18	1.3.1.9	0.00130713	1	0.19
19	1.3.1.9	0.000568694	1	-0.19
20	1.3.1.9	0.000817392	1	0.19
21	1.3.1.9	0.000890048	1	-0.19
22	1.3.1.9	0.00103144	1	0.19
23	1.3.1.9	0.0011454	1	-0.19
24	1.3.1.9	0.000622638	1	0.19
25	1.3.1.9	0.000394228	1	0.19
26	1.3.1.9	0.00153132	1	0.19
27	1.3.1.9	0.00109295	1	0.19
28	1.3.1.9	0.000423525	1	-0.19
29	1.3.1.9	0.000897775	1	-0.19
30	1.3.1.9	0.00124564	1	-0.19
31	1.3.1.9	0.00262404	1	0.19
32	1.3.1.9	0.000885266	1	-0.19
33	1.3.1.9	0.000974253	1	0.19
34	1.3.1.9	0.00141561	1	-0.19
35	1.3.1.9	0.00138219	1	-0.19
36	1.3.1.9	0.00157131	1	0.19
37	1.3.1.9	0.000656031	1	-0.19
38	1.3.1.9	0.000353395	1	0.19
39	1.3.1.9	0.00107711	1	-0.19
40	1.3.1.9	0.000662528	1	0.19
41	1.3.1.9	0.00153617	1	0.19
42	1.3.1.9	0.000648992	1	0.19
43	1.3.1.9	0.000814551	1	-0.19
44	1.3.1.9	0.000906048	1	0.19
45	1.3.1.9	0.000439367	1	-0.19
46	1.3.1.9	0.00197334	1	-0.19
47	1.3.1.9	0.00177072	1	-0.19
48	1.3.1.9	0.000651486	1	-0.19
49	1.3.1.9	0.000687565	1	-0.19
50	1.3.1.9	0.00106356	1	0.19
51	1.3.1.9	0.000754717	1	-0.19
52	1.3.1.9	0.000599837	1	-0.19
53	1.3.1.9	0.000689884	1	0.19
54	1.3.1.9	0.000772123	1	0.19
55	1.3.1.9	0.00104087	1	0.19
56	1.3.1.9	0.000936514	1	-0.19
57	1.3.1.9	0.00156333	1	0.19
58	1.3.1.9	0.000796835	1	-0.19
59	1.3.1.9	0.00209357	1	0.19
60	1.3.1.9	0.00205094	1	0.19
61	1.3.1.9	0.000413054	1	0.19
62	1.3.1.9	0.00101617	1	-0.19
63	1.3.1.9	0.000824878	1	0.19
64	1.3.1.9	0.00210355	1	-0.19
65	1.3.1.9	0.00146865	1	0.19
66	1.3.1.9	0.00195724	1	0.19
67	1.3.1.9	0.000769294	1	-0.19
68	1.3.1.9	0.000421386	1	-0.19
69	1.3.1.9	0.00103597	1	0.19
70	1.3.1.9	0.0013654	1	0.19
71	1.3.1.9	0.00101532	1	-0.19
72	1.3.1.9	0.0015211	1	0.19
73	1.3.1.9	0.00132203	1	0.19
74	1.3.1.9	0.000967065	1	-0.19
