to	count
Docosatetraenoic acid (22:4n-6)	44
Vaccenic acid (18:1n-7)	43
TG 18:0/18:2/18:2	37
TG 18:1/18:1/18:2	37
TG 18:1/18:1/20:4	36
DG 16:1/18:0	35
PC(O-34:1)	35
SM 32:2	32
TG 16:0/18:1/18:2	30
TG 16:0/18:2/18:2	29
DG 18:2/18:2	28
TG 18:0/18:1/18:1	27
PC(O-36:5)	25
PC 33:2	24
PC(O-36:4)	24
TG 18:1/18:1/22:6	24
TG 18:2/18:2/18:2	24
DG 16:0/18:2	23
TG 18:2/18:2/20:4	23
PE(O-40:5)	22
CE 18:1	21
CE 18:2	21
DG 18:0/18:2	21
PC 40:7	21
Nonadecanoic acid (19:0)	20
SM 39:1	20
CE 18:3	19
CE 16:2	18
DG 18:1/18:2	18
DG 18:1/20:4	18
DHC 24:1	18
LPC 16:1 SN1	18
TG 16:0/16:0/18:2	18
TG 16:0/18:1/18:1	18
TG 18:1/18:2/18:2	17
SM 35:2	16
TG 18:1/18:1/18:1	16
DG 18:1/18:3	15
Docosapentaenoic acid (22:5n-3)	15
PG 34:1	15
SM 34:1	15
SM 34:2	15
TG 16:0/17:0/18:2	15
TG 16:1/16:1/18:1	15
DG 16:0/18:1	14
TG 16:0/16:0/18:1	13
TG 16:1/18:1/18:1	13
TG 16:1/18:1/18:2	13
DG 16:0/16:0	12
PE(P-38:6)	12
DG 16:0/20:3	11
DG 16:0/22:5	11
PG 36:2	11
SM 38:1	11
DG 18:0/18:1	10
Nervonic acid (24:1n-9)	10
PC 33:0 b	10
PC 36:6	10
PC(O-32:0)	10
PI 36:4	10
DG 16:0/20:4	9
DG 16:0/22:6	9
PC 31:1	9
PC(O-38:6)	9
PI 34:0	9
SM 35:1	9
TG 16:0/16:1/18:1	9
DG 18:1/20:3	8
PI 32:1	8
SM 36:3	8
TG 14:1/16:0/18:1	8
Myristic acid (14:0)	7
PE(O-40:6)	7
TG 14:1/18:1/18:1	7
PE 38:3	6
PE 40:5	6
TG 16:0/18:0/18:1	6
TG 16:1/16:1/18:0	6
DG 18:1/18:1	5
MHC 16:0	5
PC(O-32:1)	5
SM 34:3	5
Lauric Acid (12:0)	4
TG 15:0/16:0/18:1	4
TG 16:0/16:0/16:0	4
CE 24:0	3
DG 14:0/18:2	3
DG 16:0/18:0	3
LPC 18:0 SN1	3
MHC 18:0	3
PE 37:4	3
PE(P-40:6)	3
SM 36:1	3
TG 14:0/16:0/18:1	3
TG 18:0/18:0/18:1	3
CE 14:0	2
LPC 16:1 SN2	2
PI 38:4	2
PI 40:6	2
Pentadecanoic acid (15:0)	2
SM 33:1	2
Stearic acid (18:0)	2
TG 14:0/16:0/18:2	2
TG 14:0/16:1/18:1	2
TG 14:0/18:0/18:1	2
TG 16:0/16:0/18:0	2
TG 16:0/17:0/18:0	2
DG 16:1/18:1	1
LPC 14:0	1
LPC 15:0 SN2	1
LPC 16:0	1
LPC 18:0 SN2	1
LPC 20:3	1
LPE 16:0	1
Linoleic acid (18:2n-6)	1
PC(P-32:0)	1
PC(P-38:4)	1
PC(P-38:5)	1
PE(P-40:5)	1
PI 34:1	1
PI 40:5	1
TG 14:1/18:0/18:2	1
