feature	group
Blautia obeum	species
Fusicatenibacter saccharivorans	species
Ruminococcus bicirculans	species
Intestinibacter bartlettii	species
Blautia wexlerae	species
Ruthenibacterium lactatiformans	species
Eubacterium hallii	species
Ruminococcus bromii	species
Dialister sp CAG 357	species
Bifidobacterium adolescentis	species
Bacteroides plebeius	species
Paraprevotella xylaniphila	species
Dorea longicatena	species
Anaerostipes hadrus	species
Eubacterium sp CAG 274	species
Turicibacter sanguinis	species
Eubacterium sp CAG 180	species
Streptococcus anginosus group	species
Bacteroides caccae	species
Clostridium sp CAG 242	species
Roseburia sp CAG 303	species
Parabacteroides distasonis	species
Megamonas funiformis	species
Bifidobacterium longum	species
Roseburia sp CAG 471	species
Paraprevotella clara	species
BIOTIN-BIOSYNTHESIS-PWY	pathway
CATECHOL-ORTHO-CLEAVAGE-PWY	pathway
FASYN-ELONG-PWY	pathway
GLYCOGENSYNTH-PWY	pathway
GOLPDLCAT-PWY	pathway
HISDEG-PWY	pathway
LACTOSECAT-PWY	pathway
NAD-BIOSYNTHESIS-II	pathway
P164-PWY	pathway
P461-PWY	pathway
PPGPPMET-PWY	pathway
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	pathway
PWY-1861	pathway
PWY-5028	pathway
PWY-5104	pathway
PWY-5188	pathway
PWY-5384	pathway
PWY-5676	pathway
PWY-5989	pathway
PWY-6147	pathway
PWY-622	pathway
PWY-6282	pathway
PWY-6353	pathway
PWY-6470	pathway
PWY-6471	pathway
PWY-6519	pathway
PWY-6608	pathway
PWY-6863	pathway
PWY-7003	pathway
PWY-7013	pathway
PWY-7196	pathway
PWY-7664	pathway
PWY0-1241	pathway
PWY0-862	pathway
RUMP-PWY	pathway
SALVADEHYPOX-PWY	pathway
TEICHOICACID-PWY	pathway
BMP 16:0/16:0	lipid
BMP 18:1/16:1	lipid
CE 14:0	lipid
CE 15:0	lipid
CE 16:0	lipid
CE 16:1	lipid
CE 16:2	lipid
CE 17:0	lipid
CE 17:1	lipid
CE 18:0	lipid
CE 18:1	lipid
CE 18:2	lipid
CE 18:3	lipid
CE 20:1	lipid
CE 20:2	lipid
CE 20:3	lipid
CE 20:4	lipid
CE 20:5	lipid
CE 22:0	lipid
CE 22:1	lipid
CE 22:4	lipid
CE 22:5	lipid
CE 22:6	lipid
CE 24:0	lipid
CE 24:1	lipid
CE 24:4	lipid
CE 24:5	lipid
Cer 12:0	lipid
Cer 14:0	lipid
Cer 16:0	lipid
Cer 18:0	lipid
Cer 20:0	lipid
Cer 24:1	lipid
COH	lipid
DG 14:0/16:0	lipid
DG 14:0/18:1	lipid
DG 14:0/18:2	lipid
DG 16:0/16:0	lipid
DG 16:0/18:0	lipid
DG 16:0/18:1	lipid
DG 16:0/18:2	lipid
DG 16:0/20:3	lipid
DG 16:0/20:4	lipid
DG 16:0/22:5	lipid
DG 16:0/22:6	lipid
DG 16:1/18:0	lipid
DG 16:1/18:1	lipid
DG 18:0/18:1	lipid
DG 18:0/18:2	lipid
DG 18:0/20:4	lipid
DG 18:1/18:1	lipid
DG 18:1/18:2	lipid
DG 18:1/18:3	lipid
DG 18:1/20:3	lipid
DG 18:1/20:4	lipid
DG 18:2/18:2	lipid
DHC 16:0	lipid
DHC 18:0	lipid
DHC 20:0	lipid
DHC 22:0	lipid
DHC 24:0	lipid
DHC 24:1	lipid
LPC 14:0	lipid
LPC 15:0 SN1	lipid
LPC 15:0 SN2	lipid
LPC 16:0	lipid
LPC 16:1 SN1	lipid
LPC 16:1 SN2	lipid
LPC 17:0 SN1	lipid
LPC 17:0 SN2	lipid
LPC 17:1 SN1	lipid
LPC 17:1 SN2	lipid
LPC 18:0 SN1	lipid
LPC 18:0 SN2	lipid
LPC 18:1 SN1	lipid
LPC 18:1 SN2	lipid
LPC 18:2	lipid
LPC 18:3	lipid
LPC 20:0 SN1	lipid
LPC 20:0 SN2	lipid
LPC 20:1 SN1	lipid
LPC 20:1 SN2	lipid
LPC 20:2 SN1	lipid
LPC 20:2 SN2	lipid
LPC 20:3	lipid
LPC 20:4	lipid
LPC 20:5	lipid
LPC 22:0 SN1	lipid
LPC 22:0 SN2	lipid
LPC 22:1	lipid
LPC 22:6	lipid
LPC 24:0	lipid
LPC 26:0	lipid
LPC(O-20:0)	lipid
LPC(O-22:0)	lipid
LPC(O-22:1)	lipid
LPC(O-24:0)	lipid
LPC(O-24:1)	lipid
LPC(O-24:2)	lipid
LPE 16:0	lipid
LPE 18:0	lipid
LPE 18:1	lipid
LPE 18:2	lipid
LPE 20:4	lipid
LPE 22:6	lipid
MHC 16:0	lipid
MHC 18:0	lipid
MHC 20:0	lipid
MHC 22:0	lipid
