from	to	value
PWY-7196	CE 14:0	0.138107038089214
PWY-622	CE 14:0	0.123812246860522
PWY-5188	CE 16:2	-0.149656494971483
GLYCOGENSYNTH-PWY	CE 16:2	-0.138615024537252
TEICHOICACID-PWY	CE 16:2	-0.137670503402554
PWY-6863	CE 16:2	-0.119381303640562
PPGPPMET-PWY	CE 16:2	-0.106244898860181
PWY-7013	CE 16:2	-0.107359757966757
RUMP-PWY	CE 16:2	-0.104510045935543
LACTOSECAT-PWY	CE 16:2	-0.096669805520616
PWY-6471	CE 16:2	-0.0852328582997475
CATECHOL-ORTHO-CLEAVAGE-PWY	CE 16:2	0.0793691565271517
PWY-6608	CE 16:2	-0.0763234573742703
GOLPDLCAT-PWY	CE 16:2	-0.0756618082140466
P164-PWY	CE 16:2	-0.0721364957562138
PWY-6353	CE 16:2	-0.0714031071975497
PWY-1861	CE 16:2	-0.0656303166879247
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	CE 16:2	0.0620311084979008
PWY-5384	CE 16:2	-0.0613726219050754
PWY-5676	CE 16:2	-0.0616148758530842
PWY-5188	CE 18:1	-0.154156466421848
RUMP-PWY	CE 18:1	-0.13968254876181
TEICHOICACID-PWY	CE 18:1	-0.139399800276532
GLYCOGENSYNTH-PWY	CE 18:1	-0.13350465938576
LACTOSECAT-PWY	CE 18:1	-0.121671113033555
PWY-6863	CE 18:1	-0.126158249583934
P164-PWY	CE 18:1	-0.0968093171328691
PPGPPMET-PWY	CE 18:1	-0.0981030036586095
PWY-6471	CE 18:1	-0.09509725801019
PWY-7013	CE 18:1	-0.0943204001913927
PWY-5676	CE 18:1	-0.0937049466383423
PWY-1861	CE 18:1	-0.092787497078224
PWY-6353	CE 18:1	-0.0878246501792724
PWY-6608	CE 18:1	-0.084240965897812
P461-PWY	CE 18:1	-0.0815686046672676
PWY-5384	CE 18:1	-0.080341688359323
PWY-6470	CE 18:1	-0.0738175375248219
GOLPDLCAT-PWY	CE 18:1	-0.0718990638096896
CATECHOL-ORTHO-CLEAVAGE-PWY	CE 18:1	0.0703149984890452
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	CE 18:1	0.0691693905170022
SALVADEHYPOX-PWY	CE 18:1	-0.0591730819486832
LACTOSECAT-PWY	CE 18:2	-0.134390735232653
P461-PWY	CE 18:2	-0.117700781214981
PWY-5188	CE 18:2	-0.131312567223472
PWY-6863	CE 18:2	-0.119765326412484
TEICHOICACID-PWY	CE 18:2	-0.122570491617345
GLYCOGENSYNTH-PWY	CE 18:2	-0.112076549023987
