number	or	class
1	0.992052350904997	BMP
2	0.888047810310109	BMP
3	1.21831777222924	CE
4	0.824091631482358	CE
5	0.923546274366925	CE
6	1.10822092805469	CE
7	1.24905537046714	CE
8	0.86472366112344	CE
9	1.01726927412041	CE
10	0.830070746563874	CE
11	1.36254440520454	CE
12	1.21622888058825	CE
13	1.30221606036522	CE
14	1.14506564243445	CE
15	1.05271496815807	CE
16	1.04921414959551	CE
17	1.03498823137447	CE
18	1.18724114261723	CE
19	0.98203382324285	CE
20	1.14352047171407	CE
21	0.940837552628827	CE
22	1.01721235949673	CE
23	1.02226579974964	CE
24	0.813155473825209	CE
25	0.927278699399512	CE
26	1.36692177874998	CE
27	0.901345981370711	CE
28	0.836058001098201	COH
29	0.883384742771088	Cer
30	1.21293701059173	Cer
31	1.03934376936553	Cer
32	1.17137511542513	Cer
33	1.11065600916421	Cer
34	1.09538215239066	Cer
35	1.25900825017571	DG
36	1.46548676634736	DG
37	1.70906764845778	DG
38	1.45470898745926	DG
39	1.29033128050831	DG
40	1.6052383721055	DG
41	1.6732548691669	DG
42	1.50204956029603	DG
43	1.55203463829342	DG
44	1.35985599348753	DG
45	1.49095077875361	DG
46	1.86186119892988	DG
47	1.42097587430344	DG
48	1.86341634575279	DG
49	1.65341455356128	DG
50	1.04543046518055	DG
51	1.39873198331524	DG
52	1.37241789620972	DG
53	1.40017670708129	DG
54	1.42893042947426	DG
55	1.571737219711	DG
56	1.2790308516469	DG
57	0.921703583560454	DHC
58	0.835077114250244	DHC
59	0.986167533047498	DHC
60	0.896616628731631	DHC
61	0.619410236563402	DHC
62	0.576115002555895	DHC
63	1.121167360876	Fatty Acid
64	0.0219081013041552	Fatty Acid
65	1.45346943609894	Fatty Acid
66	1.53824149251891	Fatty Acid
67	1.31369456984104	Fatty Acid
68	1.13132214433917	Fatty Acid
69	1.12852165242637	Fatty Acid
70	1.15261035152354	Fatty Acid
71	1.29479474562169	Fatty Acid
72	0.504131811676449	Fatty Acid
73	1.02102371791912	Fatty Acid
74	0.775544255453694	Fatty Acid
75	1.01060399604595	Fatty Acid
76	1.03414920756922	Fatty Acid
77	0.407419267700986	Fatty Acid
78	0.941415892863162	Fatty Acid
79	0.850674242895593	Fatty Acid
80	0.897878628847415	Fatty Acid
81	0.981537320544727	Fatty Acid
82	1.04718845927708	Fatty Acid
83	1.21642093829105	Fatty Acid
84	0.950699255238218	Fatty Acid
85	1.09057615373569	Fatty Acid
86	0.585033558756433	Fatty Acid
87	0.770401026557314	Fatty Acid
88	1.20780496057564	Fatty Acid
89	0.900346991365416	Fatty Acid
90	0.794386412898128	Fatty Acid
91	0.799295697659565	Fatty Acid
92	0.869785415158098	Fatty Acid
93	0.95364037119686	Fatty Acid
94	0.606384702330331	Fatty Acid
95	1.55077513806115	LPC
96	1.5395761064749	LPC
97	1.4828336802651	LPC
98	1.79937330249867	LPC
99	0.786644933436282	LPC
100	1.43160790258304	LPC
101	1.31765968483537	LPC
102	1.34825490867008	LPC
103	1.52948662670877	LPC
104	1.41254626290327	LPC
105	1.61783759713541	LPC
106	1.24541002494218	LPC
107	1.24678835879366	LPC
108	1.06775779381391	LPC
109	1.24787718294153	LPC
110	1.25925863641488	LPC
111	1.12841540711437	LPC
112	1.07927710089762	LPC
113	1.10033851239121	LPC
114	1.06736788357242	LPC
115	1.3152964414704	LPC
116	1.150091669722	LPC
117	1.42759344071576	LPC
118	1.4998008700565	LPC
119	1.24671155276265	LPC
120	0.968030530916448	LPC
121	0.73749492658397	LPC
122	1.03089522991282	LPC
123	1.35369783921278	LPC
124	0.915633679046054	LPC
125	0.809833399581176	LPC
126	1.19968300572353	LPC(O)
127	1.00405796131838	LPC(O)
128	1.0194167632291	LPC(O)
129	0.987597258930979	LPC(O)
130	0.873499553124525	LPC(O)
131	0.904845344446459	LPC(O)
132	1.38096924488257	LPE
133	1.58324409066593	LPE
134	1.46941006953289	LPE
135	1.13739590321705	LPE
136	1.20360604115587	LPE
137	1.29139542043223	LPE
138	0.749670670415326	MHC
139	0.68286208440621	MHC
140	0.808758559990383	MHC
141	1.06199207982496	MHC
142	1.09710045327649	MHC
143	1.05028939449533	MHC
144	1.13907023920996	PC
145	1.13180932751202	PC
146	0.952896533001623	PC
147	0.720778100762193	PC
148	0.870732840068983	PC
149	0.948423305121212	PC
150	0.7905209638104	PC
151	0.992567586013725	PC
152	0.855548691868607	PC
153	0.812570889474647	PC
154	0.980796007956151	PC
155	1.03000611281935	PC
156	0.915639752464389	PC
157	0.844949765081376	PC
158	0.97228201083373	PC
159	1.19900202745631	PC
160	1.18226188576065	PC
161	1.32175583536278	PC
162	1.05255339196965	PC
163	0.87883542555652	PC
164	0.8199447418355	PC
165	0.874941627743584	PC
166	1.03293431864116	PC
167	0.863441507105655	PC
168	0.893217472070496	PC
169	0.946585367106457	PC
170	1.10304716388601	PC
171	1.23665773555256	PC
172	1.08489413087366	PC
173	0.848042201083361	PC
174	1.09449192264084	PC
175	1.16894622783303	PC
176	1.18689902189947	PC
177	1.15125560477367	PC
178	0.968662862255195	PC
179	0.978661426816997	PC
180	1.09135179636036	PC
181	1.08739295722695	PC
182	1.0483905681463	PC
183	1.09949151077933	PC
184	1.13643078776824	PC
185	0.811891374512561	PC
186	1.05959498236532	PC(O)
187	0.815727217651368	PC(O)
188	0.820580076873165	PC(O)
189	0.944980377740257	PC(O)
190	1.02464673663447	PC(O)
191	0.71939672581706	PC(O)
192	0.87479668204694	PC(O)
193	0.896715205492462	PC(O)
194	0.823333777133357	PC(O)
195	0.989554854393063	PC(O)
196	1.12083609589966	PC(O)
197	1.68177118694848	PC(O)
198	0.875628202070919	PC(O)
199	0.834501291707066	PC(O)
200	0.738486705650567	PC(O)
201	0.659205424174944	PC(O)
202	1.02196266315733	PC(O)
203	0.908296225543549	PC(O)
204	0.850048341297692	PC(O)
205	0.729050342084807	PC(O)
206	0.841923102590542	PC(O)
207	1.09383544195777	PC(O)
208	0.728593265878351	PC(P)
209	0.71066411421563	PC(P)
210	0.724606175445148	PC(P)
211	0.82632766438802	PC(P)
212	0.853344794681034	PC(P)
213	0.936745573218798	PC(P)
214	1.01762976563858	PC(P)
215	0.91235826008898	PC(P)
216	0.910687645899493	PC(P)
217	1.25197277470728	PC(P)
218	1.25834974458231	PC(P)
219	1.20937283493526	PC(P)
220	0.980379085671627	PC(P)
221	1.05121623722528	PE
222	1.13538570114119	PE
223	1.04141964125305	PE
224	0.996288995858851	PE
225	1.00285387557154	PE
226	1.08032718140208	PE
227	1.21284554888615	PE
228	0.913738942703361	PE
229	1.05894436941742	PE
230	1.18805868396811	PE
231	1.12237952782832	PE
232	1.24779425053199	PE
233	1.07556058276531	PE
234	0.911104259641461	PE
235	0.945980175765745	PE
236	1.05674423706683	PE
237	1.34970789234915	PE
238	0.933572616055555	PE
239	1.35285875391794	PE
240	1.17505219748392	PE
