ID	Time	Group	Glucose
721	0	LacCer	19.5
709	0	LacCer	27.4
713	0	LacCer	27.4
725	0	LacCer	28
711	0	LacCer	23.4
736	0	LacCer	25.8
715	0	LacCer	27
735	0	LacCer	26.7
703	0	LacCer	28.7
728	0	LacCer	22.8
721	15	LacCer	15
709	15	LacCer	26.1
713	15	LacCer	23.6
725	15	LacCer	25.7
711	15	LacCer	22.9
736	15	LacCer	24
715	15	LacCer	26.5
735	15	LacCer	26.3
703	15	LacCer	28.1
728	15	LacCer	24.2
721	30	LacCer	6.9
709	30	LacCer	11.8
713	30	LacCer	12.5
725	30	LacCer	12.8
711	30	LacCer	10
736	30	LacCer	13.5
715	30	LacCer	14.3
735	30	LacCer	13.6
703	30	LacCer	15.1
728	30	LacCer	14.6
721	60	LacCer	4.2
709	60	LacCer	6.2
713	60	LacCer	6.4
725	60	LacCer	6.7
711	60	LacCer	6.5
736	60	LacCer	7.8
715	60	LacCer	7.8
735	60	LacCer	6.8
703	60	LacCer	8.4
728	60	LacCer	6.8
721	90	LacCer	3.8
709	90	LacCer	4.8
713	90	LacCer	6.2
725	90	LacCer	5.8
711	90	LacCer	4.1
736	90	LacCer	6.9
715	90	LacCer	7
735	90	LacCer	6.8
703	90	LacCer	7
728	90	LacCer	5.8
721	120	LacCer	4.2
709	120	LacCer	6.5
713	120	LacCer	6.7
725	120	LacCer	6.9
711	120	LacCer	6.3
736	120	LacCer	6.3
715	120	LacCer	7.3
735	120	LacCer	7.6
703	120	LacCer	10
728	120	LacCer	7.1
718	0	Control	18.8
744（731）	0	Control	24.3
722	0	Control	28.5
704	0	Control	29.9
740	0	Control	22.4
723	0	Control	27
732	0	Control	27.9
734	0	Control	28.7
702	0	Control	30.1
718	15	Control	18.7
744（731）	15	Control	21.4
722	15	Control	27.6
704	15	Control	28.9
740	15	Control	23.3
723	15	Control	27
732	15	Control	26.2
734	15	Control	27.3
702	15	Control	29
718	30	Control	12.2
744（731）	30	Control	7.5
722	30	Control	19.8
704	30	Control	17.7
740	30	Control	13.3
723	30	Control	18.7
732	30	Control	15.9
734	30	Control	18.3
702	30	Control	16.6
718	60	Control	7.4
744（731）	60	Control	7.8
722	60	Control	10.3
704	60	Control	9.9
740	60	Control	8.9
723	60	Control	10.3
732	60	Control	10
NA	NA	NA	NA
734	60	Control	12.5
702	60	Control	9.3
718	90	Control	7.7
744（731）	90	Control	6.8
722	90	Control	9.3
704	90	Control	7.4
740	90	Control	8
723	90	Control	9.5
732	90	Control	6.7
734	90	Control	9.2
702	90	Control	7.9
718	120	Control	7.1
744（731）	120	Control	7.7
722	120	Control	10.8
704	120	Control	10
740	120	Control	9
723	120	Control	12.3
732	120	Control	7.2
734	120	Control	15.5
702	120	Control	9.4
