ID	Time	Group	Glucose
701	0	PBS	28.7
701	15	PBS	26.2
701	30	PBS	11.9
701	60	PBS	8.3
701	90	PBS	9.1
701	120	PBS	9.2
706	0	PBS	22
706	15	PBS	21.4
706	30	PBS	11.4
706	60	PBS	7.5
706	90	PBS	6.2
706	120	PBS	6.9
707	0	R. bicirculan	26.8
707	15	R. bicirculan	25.4
707	30	R. bicirculan	13.9
707	60	R. bicirculan	8
707	90	R. bicirculan	7.4
707	120	R. bicirculan	8.3
719	0	R. bicirculan	18.7
719	15	R. bicirculan	16.5
719	30	R. bicirculan	8.3
719	60	R. bicirculan	4.4
719	90	R. bicirculan	4.8
719	120	R. bicirculan	5.3
720	0	R. bicirculan	23.7
720	15	R. bicirculan	27.1
720	30	R. bicirculan	14
720	60	R. bicirculan	7.6
720	90	R. bicirculan	6
720	120	R. bicirculan	9.5
724	0	R. bicirculan	25.9
724	15	R. bicirculan	24
724	30	R. bicirculan	13.8
724	60	R. bicirculan	6.8
724	90	R. bicirculan	8
724	120	R. bicirculan	5.9
726	0	R. bicirculan	26.3
726	15	R. bicirculan	28.6
726	30	R. bicirculan	15.1
726	60	R. bicirculan	8.5
726	90	R. bicirculan	7.9
726	120	R. bicirculan	9.9
727	0	R. bicirculan	23.1
727	15	R. bicirculan	22.4
727	30	R. bicirculan	10.5
727	60	R. bicirculan	5.9
727	90	R. bicirculan	5.6
727	120	R. bicirculan	5.5
729	0	PBS	28
729	15	PBS	27
729	30	PBS	16.7
729	60	PBS	10.3
729	90	PBS	6.5
729	120	PBS	8.1
730	0	PBS	28.9
730	15	PBS	27.1
730	30	PBS	19.8
730	60	PBS	7.9
730	90	PBS	7.3
730	120	PBS	6.6
733	0	PBS	28.7
733	15	PBS	27
733	30	PBS	16.5
733	60	PBS	10.5
733	90	PBS	12.4
733	120	PBS	14.8
737	0	PBS	23.9
737	15	PBS	24.8
737	30	PBS	15.7
737	60	PBS	9.9
737	90	PBS	9.5
737	120	PBS	10.4
742	0	R. bicirculan	18.3
742	15	R. bicirculan	16.3
742	30	R. bicirculan	7.2
742	60	R. bicirculan	3.6
742	90	R. bicirculan	3.7
742	120	R. bicirculan	3
747	0	R. bicirculan	27.7
747	15	R. bicirculan	27.1
747	30	R. bicirculan	13.3
747	60	R. bicirculan	8.4
747	90	R. bicirculan	7.5
747	120	R. bicirculan	7.5
748	0	PBS	26.5
748	15	PBS	25.6
748	30	PBS	16.5
748	60	PBS	10.2
748	90	PBS	8.5
748	120	PBS	7.9
708（749）	0	R. bicirculan	28.3
708（749）	15	R. bicirculan	25.5
708（749）	30	R. bicirculan	16.5
708（749）	60	R. bicirculan	7.8
708（749）	90	R. bicirculan	7.5
708（749）	120	R. bicirculan	7
712（743）	0	PBS	27.7
712（743）	15	PBS	27
712（743）	30	PBS	17.6
712（743）	60	PBS	7.7
712（743）	90	PBS	7.1
712（743）	120	PBS	7.7
716（745）	0	PBS	25.9
716（745）	15	PBS	25.6
716（745）	30	PBS	18.7
716（745）	60	PBS	10
716（745）	90	PBS	9.2
716（745）	120	PBS	10.7
741（705）	0	R. bicirculan	20.7
741（705）	15	R. bicirculan	18.6
741（705）	30	R. bicirculan	9.6
741（705）	60	R. bicirculan	5.5
741（705）	90	R. bicirculan	6.5
741（705）	120	R. bicirculan	6.4
746（717）	0	PBS	27.1
746（717）	15	PBS	27.1
746（717）	30	PBS	18.7
746（717）	60	PBS	9.9
746（717）	90	PBS	9.7
746（717）	120	PBS	10.2
