Sample	LacCer_ng_ml	Group	GluCer_uM	LacCer_add_ul
A1	1.21	G1	10	0
A2	3.76	G1	25	0
A3	29.08	G1	50	0
A4	263.72	G1	100	0
A8	2.38	G2	0	0
A9	1.04	G3	10	0
A10	2.08	G3	25	0
A11	5.36	G3	50	0
A12	18.15	G3	100	0
A13	1.51	G1	10	0
A14	3.99	G1	25	0
A15	29.24	G1	50	0
A16	271.3	G1	100	0
A17	2.52	G2	0	0
A21	1.15	G3	10	0
A22	2.28	G3	25	0
A23	5.16	G3	50	0
A24	18.24	G3	100	0
A25	753.25	g1	0	3
A26	1668	g1	0	7.5
A27	1781.42	g1	0	15
A28	3135.74	g1	0	30
A37	19.11	G1_0	100	0
A38	19.77	G1_0	100	0
A31	1.32	G1	10	0
A32	3.77	G1	25	0
A33	33.05	G1	50	0
A34	268.26	G1	100	0
A35	1.24	G3	10	0
A36	2.45	G3	25	0
A37	5.61	G3	50	0
A38	19.5	G3	100	0
A39	18.05	G1_0	100	0
A44	2.44	G2	0	0
